year,country,value
2006,Czech Republic,14543122.0
2007,Czech Republic,1502609.0
2008,Czech Republic,5795783.0
2009,Czech Republic,6708081.0
2010,Czech Republic,1878262.0
2011,Czech Republic,22700150.0
2012,Czech Republic,9605971.0
2013,Czech Republic,12772188.0
2014,Czech Republic,33755068.0
2015,Czech Republic,19319276.0
2016,Czech Republic,8318021.0
2017,Czech Republic,8532679.0
2018,Czech Republic,16153062.0
2019,Czech Republic,2844227.0
2020,Czech Republic,3273543.0
2001,Germany,0.0
2002,Germany,2200249.0
2003,Germany,18192316.0
2004,Germany,3595529.0
2005,Germany,0.0
2006,Germany,3541867.0
2007,Germany,751305.0
2008,Germany,11752560.0
2009,Germany,2253914.0
2010,Germany,6278765.0
2011,Germany,26564006.0
2012,Germany,0.0
2013,Germany,2951556.0
2014,Germany,1931927.0
2015,Germany,5634789.0
2016,Germany,1126958.0
2017,Germany,1931927.0
2018,Germany,30857178.0
2019,Germany,64558590.0
2020,Germany,0.0
2001,Denmark,0.0
2002,Denmark,0.0
2003,Denmark,6117771.0
2004,Denmark,6064104.0
2005,Denmark,2414909.0
2006,Denmark,4668824.0
2007,Denmark,1717269.0
2008,Denmark,965962.0
2009,Denmark,0.0
2010,Denmark,0.0
2011,Denmark,0.0
2012,Denmark,0.0
2013,Denmark,0.0
2014,Denmark,6278762.0
2015,Denmark,0.0
2016,Denmark,0.0
2017,Denmark,321988.0
2018,Denmark,0.0
2019,Denmark,0.0
2020,Denmark,0.0
2001,Spain,1367429200.0
2002,Spain,1609886200.0
2003,Spain,2677276400.0
2004,Spain,2652537000.0
2005,Spain,1785155100.0
2006,Spain,1551767400.0
2007,Spain,638502140.0
2008,Spain,295370270.0
2009,Spain,1010827600.0
2010,Spain,402377600.0
2011,Spain,1179066400.0
2012,Spain,1926722600.0
2013,Spain,981634050.0
2014,Spain,407153800.0
2015,Spain,879724860.0
2016,Spain,944605440.0
2017,Spain,2139180800.0
2018,Spain,318714430.0
2019,Spain,729571100.0
2020,Spain,646927550.0
2001,Estonia,697640.0
2002,Estonia,64075590.0
2003,Estonia,32574446.0
2004,Estonia,15455419.0
2005,Estonia,0.0
2006,Estonia,45722284.0
2007,Estonia,2468574.0
2008,Estonia,13147841.0
2009,Estonia,8479014.0
2010,Estonia,1717268.0
2011,Estonia,0.0
2012,Estonia,1073293.0
2013,Estonia,2039257.0
2014,Estonia,8908332.0
2015,Estonia,5849447.0
2016,Estonia,6976406.0
2017,Estonia,0.0
2018,Estonia,6332429.0
2019,Estonia,3488203.0
2020,Estonia,2522238.0
2001,Finland,8908331.0
2002,Finland,12128209.0
2003,Finland,27100644.0
2004,Finland,19694928.0
2005,Finland,8532679.0
2006,Finland,42073090.0
2007,Finland,2683231.0
2008,Finland,43897690.0
2009,Finland,7244728.0
2010,Finland,18138656.0
2011,Finland,15455419.0
2012,Finland,751304.0
2013,Finland,5795781.0
2014,Finland,5956774.0
2015,Finland,5634789.0
2016,Finland,6171436.0
2017,Finland,5473791.0
2018,Finland,44970980.0
2019,Finland,10840259.0
2020,Finland,7083733.0
2001,France,235426850.0
2002,France,248682050.0
2003,France,725707260.0
2004,France,132444380.0
2005,France,223405970.0
2006,France,30213200.0
2007,France,116184000.0
2008,France,39336200.0
2009,France,161315970.0
2010,France,32950100.0
2011,France,51464400.0
2012,France,118545250.0
2013,France,3327209.0
2014,France,97347700.0
2015,France,35204016.0
2016,France,238378450.0
2017,France,286461980.0
2018,France,22002510.0
2019,France,212726740.0
2020,France,74540210.0
2001,United Kingdom,56616212.0
2002,United Kingdom,59836096.0
2003,United Kingdom,457705920.0
2004,United Kingdom,36277304.0
2005,United Kingdom,24149094.0
2006,United Kingdom,34882020.0
2007,United Kingdom,227377150.0
2008,United Kingdom,78833390.0
2009,United Kingdom,146558190.0
2010,United Kingdom,100567570.0
2011,United Kingdom,161423300.0
2012,United Kingdom,95791410.0
2013,United Kingdom,29032576.0
2014,United Kingdom,11269577.0
2015,United Kingdom,43629364.0
2016,United Kingdom,103519130.0
2017,United Kingdom,79370030.0
2018,United Kingdom,113983730.0
2019,United Kingdom,119081890.0
2020,United Kingdom,125253320.0
2001,Greece,1216577900.0
2002,Greece,425882800.0
2003,Greece,457598600.0
2004,Greece,760696600.0
2005,Greece,370769150.0
2006,Greece,389229800.0
2007,Greece,3140831700.0
2008,Greece,978950800.0
2009,Greece,747548740.0
2010,Greece,208272560.0
2011,Greece,1354925400.0
2012,Greece,958826600.0
2013,Greece,531333820.0
2014,Greece,988664200.0
2015,Greece,432107840.0
2016,Greece,709071200.0
2017,Greece,500262000.0
2018,Greece,235212220.0
2019,Greece,442035840.0
2020,Greece,220132450.0
2001,Croatia,487328830.0
2002,Croatia,118169590.0
2003,Croatia,635335940.0
2004,Croatia,163677220.0
2005,Croatia,186001730.0
2006,Croatia,158257090.0
2007,Croatia,579578400.0
2008,Croatia,490387700.0
2009,Croatia,377584580.0
2010,Croatia,92678870.0
2011,Croatia,470692740.0
2012,Croatia,759730700.0
2013,Croatia,80014000.0
2014,Croatia,48137204.0
2015,Croatia,117579280.0
2016,Croatia,131156430.0
2017,Croatia,782323500.0
2018,Croatia,29730222.0
2019,Croatia,117257280.0
2020,Croatia,166360460.0
2001,Hungary,1122020700.0
2002,Hungary,222762000.0
2003,Hungary,1075922800.0
2004,Hungary,654333200.0
2005,Hungary,529884860.0
2006,Hungary,383594980.0
2007,Hungary,327139780.0
2008,Hungary,747763460.0
2009,Hungary,520708220.0
2010,Hungary,58440812.0
2011,Hungary,415793800.0
2012,Hungary,528006600.0
2013,Hungary,134590940.0
2014,Hungary,166145800.0
2015,Hungary,155090850.0
2016,Hungary,49532480.0
2017,Hungary,65095236.0
2018,Hungary,102499500.0
2019,Hungary,79316370.0
2020,Hungary,20660888.0
2001,Ireland,4185843.0
2002,Ireland,5205472.0
2003,Ireland,23183132.0
2004,Ireland,0.0
2005,Ireland,0.0
2006,Ireland,6332430.0
2007,Ireland,58440816.0
2008,Ireland,7459387.0
2009,Ireland,3863855.0
2010,Ireland,49908132.0
2011,Ireland,16743368.0
2012,Ireland,7996034.0
2013,Ireland,28442272.0
2014,Ireland,3971185.0
2015,Ireland,68368776.0
2016,Ireland,2736896.0
2017,Ireland,67885800.0
2018,Ireland,7030066.0
2019,Ireland,375652.0
2020,Ireland,15294429.0
2001,Iceland,0.0
2002,Iceland,0.0
2003,Iceland,0.0
2004,Iceland,0.0
2005,Iceland,214658.0
2006,Iceland,71213016.0
2007,Iceland,1556275.0
2008,Iceland,482982.0
2009,Iceland,0.0
2010,Iceland,4561495.0
2011,Iceland,0.0
2012,Iceland,1395281.0
2013,Iceland,0.0
2014,Iceland,0.0
2015,Iceland,0.0
2016,Iceland,0.0
2017,Iceland,0.0
2018,Iceland,0.0
2019,Iceland,0.0
2020,Iceland,0.0
2001,Italy,2413139000.0
2002,Italy,945732350.0
2003,Italy,2754607400.0
2004,Italy,2904868000.0
2005,Italy,1126743300.0
2006,Italy,1309310500.0
2007,Italy,4300310500.0
2008,Italy,3105037600.0
2009,Italy,1502664300.0
2010,Italy,2252467000.0
2011,Italy,2276562400.0
2012,Italy,3014719700.0
2013,Italy,1669185900.0
2014,Italy,1526652300.0
2015,Italy,1103882200.0
2016,Italy,1623302400.0
2017,Italy,2269747000.0
2018,Italy,718784500.0
2019,Italy,2006790100.0
2020,Italy,1192804400.0
2001,Kosovo,39550856.0
2002,Kosovo,5634789.0
2003,Kosovo,58494490.0
2004,Kosovo,75184200.0
2005,Kosovo,82160590.0
2006,Kosovo,25490714.0
2007,Kosovo,414452220.0
2008,Kosovo,82643580.0
2009,Kosovo,124502024.0
2010,Kosovo,80604320.0
2011,Kosovo,450568500.0
2012,Kosovo,251687280.0
2013,Kosovo,149348770.0
2014,Kosovo,114681390.0
2015,Kosovo,110602860.0
2016,Kosovo,14865110.0
2017,Kosovo,86292770.0
2018,Kosovo,29032584.0
2019,Kosovo,82643576.0
2020,Kosovo,62626656.0
2001,Lithuania,15562744.0
2002,Lithuania,200974130.0
2003,Lithuania,290916100.0
2004,Lithuania,82160590.0
2005,Lithuania,28871588.0
2006,Lithuania,155466510.0
2007,Lithuania,57904176.0
2008,Lithuania,21412196.0
2009,Lithuania,136469230.0
2010,Lithuania,16743375.0
2011,Lithuania,47332236.0
2012,Lithuania,19319276.0
2013,Lithuania,33379420.0
2014,Lithuania,82106936.0
2015,Lithuania,79692024.0
2016,Lithuania,34560044.0
2017,Lithuania,18782628.0
2018,Lithuania,13684486.0
2019,Lithuania,71052020.0
2020,Lithuania,11752558.0
2001,Luxembourg,0.0
2002,Luxembourg,0.0
2003,Luxembourg,0.0
2004,Luxembourg,0.0
2005,Luxembourg,0.0
2006,Luxembourg,0.0
2007,Luxembourg,0.0
2008,Luxembourg,0.0
2009,Luxembourg,0.0
2010,Luxembourg,0.0
2011,Luxembourg,0.0
2012,Luxembourg,0.0
2013,Luxembourg,0.0
2014,Luxembourg,0.0
2015,Luxembourg,0.0
2016,Luxembourg,0.0
2017,Luxembourg,0.0
2018,Luxembourg,0.0
2019,Luxembourg,0.0
2020,Luxembourg,0.0
2001,Latvia,50176440.0
2002,Latvia,156164130.0
2003,Latvia,158525380.0
2004,Latvia,32359784.0
2005,Latvia,804970.0
2006,Latvia,118276890.0
2007,Latvia,2414910.0
2008,Latvia,0.0
2009,Latvia,34238052.0
2010,Latvia,321988.0
2011,Latvia,14865112.0
2012,Latvia,3273544.0
2013,Latvia,643976.0
2014,Latvia,10303612.0
2015,Latvia,13523489.0
2016,Latvia,7298391.0
2017,Latvia,1234286.0
2018,Latvia,30964510.0
2019,Latvia,5151805.0
2020,Latvia,10410944.0
2001,Moldova,1351652000.0
2002,Moldova,342809860.0
2003,Moldova,40999796.0
2004,Moldova,532353440.0
2005,Moldova,680736260.0
2006,Moldova,595624100.0
2007,Moldova,657123840.0
2008,Moldova,2156407300.0
2009,Moldova,759193900.0
2010,Moldova,470692770.0
2011,Moldova,899205200.0
2012,Moldova,284852060.0
2013,Moldova,494358880.0
2014,Moldova,1549137900.0
2015,Moldova,806526300.0
2016,Moldova,1008144300.0
2017,Moldova,664100300.0
2018,Moldova,210955790.0
2019,Moldova,301488060.0
2020,Moldova,85863450.0
2001,Macedonia,111568830.0
2002,Macedonia,61392372.0
2003,Macedonia,82267930.0
2004,Macedonia,103841120.0
2005,Macedonia,85326810.0
2006,Macedonia,149456080.0
2007,Macedonia,640541440.0
2008,Macedonia,222815680.0
2009,Macedonia,78779720.0
2010,Macedonia,120423500.0
2011,Macedonia,384024350.0
2012,Macedonia,309913440.0
2013,Macedonia,161369650.0
2014,Macedonia,25705372.0
2015,Macedonia,111729820.0
2016,Macedonia,76418470.0
2017,Macedonia,340555940.0
2018,Macedonia,17655672.0
2019,Macedonia,332506270.0
2020,Macedonia,25759036.0
2001,Montenegro,62197344.0
2002,Montenegro,0.0
2003,Montenegro,114896050.0
2004,Montenegro,1395281.0
2005,Montenegro,4024849.0
2006,Montenegro,57689510.0
2007,Montenegro,591223600.0
2008,Montenegro,83019230.0
2009,Montenegro,28281276.0
2010,Montenegro,52323040.0
2011,Montenegro,267196380.0
2012,Montenegro,689215300.0
2013,Montenegro,25651708.0
2014,Montenegro,0.0
2015,Montenegro,216161260.0
2016,Montenegro,31823144.0
2017,Montenegro,490065700.0
2018,Montenegro,45722296.0
2019,Montenegro,59728764.0
2020,Montenegro,129009850.0
2001,Netherlands,0.0
2002,Netherlands,1985592.0
2003,Netherlands,8049697.0
2004,Netherlands,0.0
2005,Netherlands,0.0
2006,Netherlands,8961997.0
2007,Netherlands,0.0
2008,Netherlands,0.0
2009,Netherlands,2253914.0
2010,Netherlands,1824598.0
2011,Netherlands,0.0
2012,Netherlands,1234287.0
2013,Netherlands,1556275.0
2014,Netherlands,5420129.0
2015,Netherlands,0.0
2016,Netherlands,0.0
2017,Netherlands,2200251.0
2018,Netherlands,3166214.0
2019,Netherlands,0.0
2020,Netherlands,0.0
2001,Norway,11054921.0
2002,Norway,4239507.0
2003,Norway,89941980.0
2004,Norway,13201502.0
2005,Norway,37672590.0
2006,Norway,24149096.0
2007,Norway,6332429.0
2008,Norway,56347892.0
2009,Norway,2200250.0
2010,Norway,41160790.0
2011,Norway,3166214.0
2012,Norway,14221136.0
2013,Norway,1878263.0
2014,Norway,25222388.0
2015,Norway,6010440.0
2016,Norway,1395279.0
2017,Norway,16636045.0
2018,Norway,2468574.0
2019,Norway,38477560.0
2020,Norway,13040512.0
2001,Poland,132981040.0
2002,Poland,309537760.0
2003,Poland,563908200.0
2004,Poland,78994376.0
2005,Poland,89512640.0
2006,Poland,51464404.0
2007,Poland,36330972.0
2008,Poland,24095428.0
2009,Poland,50874092.0
2010,Poland,32037796.0
2011,Poland,22431824.0
2012,Poland,59245772.0
2013,Poland,18514308.0
2014,Poland,80228664.0
2015,Poland,117525590.0
2016,Poland,33003764.0
2017,Poland,2361245.0
2018,Poland,40463150.0
2019,Poland,25437044.0
2020,Poland,64612250.0
2001,Portugal,990703360.0
2002,Portugal,1260475600.0
2003,Portugal,4766764000.0
2004,Portugal,1433651500.0
2005,Portugal,3957554400.0
2006,Portugal,844145150.0
2007,Portugal,356065060.0
2008,Portugal,137274180.0
2009,Portugal,991400960.0
2010,Portugal,1646539400.0
2011,Portugal,832500000.0
2012,Portugal,1013188860.0
2013,Portugal,1935845600.0
2014,Portugal,174517470.0
2015,Portugal,547647900.0
2016,Portugal,1899353500.0
2017,Portugal,5663930000.0
2018,Portugal,413110600.0
2019,Portugal,458564540.0
2020,Portugal,605122750.0
2001,Romania,6610198500.0
2002,Romania,793324740.0
2003,Romania,1228759800.0
2004,Romania,4240313300.0
2005,Romania,3162673400.0
2006,Romania,3283955500.0
2007,Romania,2446786800.0
2008,Romania,7371485700.0
2009,Romania,3895786500.0
2010,Romania,4492859400.0
2011,Romania,6419528000.0
2012,Romania,6116698000.0
2013,Romania,3150813200.0
2014,Romania,3383878700.0
2015,Romania,2903365600.0
2016,Romania,4146668800.0
2017,Romania,3434378000.0
2018,Romania,1524398300.0
2019,Romania,2970661000.0
2020,Romania,1896026400.0
2001,Republic of Serbia,713632700.0
2002,Republic of Serbia,319519400.0
2003,Republic of Serbia,1543556700.0
2004,Republic of Serbia,1058535550.0
2005,Republic of Serbia,693508400.0
2006,Republic of Serbia,838134700.0
2007,Republic of Serbia,1447765200.0
2008,Republic of Serbia,1776407800.0
2009,Republic of Serbia,2380994000.0
2010,Republic of Serbia,538685900.0
2011,Republic of Serbia,3946231300.0
2012,Republic of Serbia,2842134300.0
2013,Republic of Serbia,1310705800.0
2014,Republic of Serbia,182084210.0
2015,Republic of Serbia,694742700.0
2016,Republic of Serbia,780284200.0
2017,Republic of Serbia,1410468400.0
2018,Republic of Serbia,1375962100.0
2019,Republic of Serbia,1711956500.0
2020,Republic of Serbia,149992720.0
2001,Slovakia,18245980.0
2002,Slovakia,50820430.0
2003,Slovakia,69442060.0
2004,Slovakia,134805630.0
2005,Slovakia,88385700.0
2006,Slovakia,43575704.0
2007,Slovakia,56294230.0
2008,Slovakia,40355824.0
2009,Slovakia,11430571.0
2010,Slovakia,27154320.0
2011,Slovakia,39604520.0
2012,Slovakia,38048244.0
2013,Slovakia,14060140.0
2014,Slovakia,29515566.0
2015,Slovakia,29461892.0
2016,Slovakia,6869074.0
2017,Slovakia,1770933.0
2018,Slovakia,13845479.0
2019,Slovakia,21036544.0
2020,Slovakia,3917519.0
2001,Slovenia,0.0
2002,Slovenia,0.0
2003,Slovenia,1502610.0
2004,Slovenia,858634.0
2005,Slovenia,4454167.0
2006,Slovenia,268323.0
2007,Slovenia,0.0
2008,Slovenia,0.0
2009,Slovenia,0.0
2010,Slovenia,0.0
2011,Slovenia,0.0
2012,Slovenia,0.0
2013,Slovenia,429317.0
2014,Slovenia,0.0
2015,Slovenia,0.0
2016,Slovenia,0.0
2017,Slovenia,8049699.0
2018,Slovenia,0.0
2019,Slovenia,160994.0
2020,Slovenia,2307580.0
2001,Sweden,0.0
2002,Sweden,87044070.0
2003,Sweden,20446228.0
2004,Sweden,5151806.0
2005,Sweden,37350600.0
2006,Sweden,69656720.0
2007,Sweden,9176655.0
2008,Sweden,26349344.0
2009,Sweden,6654414.0
2010,Sweden,1341616.0
2011,Sweden,8961995.0
2012,Sweden,8318019.0
2013,Sweden,40785136.0
2014,Sweden,124233700.0
2015,Sweden,17816664.0
2016,Sweden,214658.0
2017,Sweden,8157027.0
2018,Sweden,230167730.0
2019,Sweden,10357278.0
2020,Sweden,8264353.0
